spot,pattern,level,work,players,hands,pct_hands,flop_hands,preflop_hands,pct_sees_flop,avg_pot_bb
"CO open, BU 3bet, BB 4bet, BU call","open, 3bet, 4bet, call",4bet,mixed,3,1338,0.0147,1294,44,96.71,102.40
"BU open, SB call, BB 3bet, BU call","open, call, 3bet, call",3bet,postflop,3,1328,0.0146,1322,6,99.55,63.54
"UTG open, CO call, BU 3bet, CO call","open, call, 3bet, call",3bet,postflop,3,1319,0.0145,1316,3,99.77,54.47
"UTG open, HJ call, CO call, BB call","open, call, call, call",SRP,postflop,4,1316,0.0145,1316,0,100.00,35.67
"UTG limp, HJ iso","limp, iso",SRP,preflop only,2,1313,0.0144,0,1313,0.00,3.44
"HJ open, BU 3bet, BB call","open, 3bet, call",3bet,postflop,3,1307,0.0144,1299,8,99.39,44.64
"UTG open, HJ call, CO 3bet, HJ call","open, call, 3bet, call",3bet,postflop,3,1300,0.0143,1289,11,99.15,54.88
"UTG open, HJ call, SB 3bet","open, call, 3bet",3bet,preflop only,3,1293,0.0142,1,1292,0.08,7.66
"CO open, SB 3bet, BB call","open, 3bet, call",3bet,postflop,3,1286,0.0141,1279,7,99.46,58.01
"CO open, BU 3bet, CO 4bet, BU 5bet, CO call","open, 3bet, 4bet, 5bet, call",5bet+,mixed,2,1286,0.0141,914,372,71.07,187.36
"HJ open, CO 3bet, BU call","open, 3bet, call",3bet,postflop,3,1286,0.0141,1281,5,99.61,49.09
"HJ limp, CO iso","limp, iso",SRP,preflop only,2,1286,0.0141,0,1286,0.00,3.43
"CO open, SB 3bet, BB call, CO call","open, 3bet, call, call",3bet,postflop,3,1274,0.0140,1274,0,100.00,72.10
"UTG open, HJ call, BU 3bet, HJ call","open, call, 3bet, call",3bet,postflop,3,1266,0.0139,1264,2,99.84,55.66
"UTG open, CO 3bet, BU 4bet","open, 3bet, 4bet",4bet,mixed,3,1251,0.0138,15,1236,1.20,18.90
"UTG open, HJ 3bet, CO call, UTG call","open, 3bet, call, call",3bet,postflop,3,1249,0.0137,1249,0,100.00,64.63
"BU limp, SB iso","limp, iso",SRP,preflop only,2,1244,0.0137,0,1244,0.00,3.00
"UTG open, BU call, SB 3bet, BU call","open, call, 3bet, call",3bet,postflop,3,1223,0.0134,1220,3,99.75,66.63
"UTG open, BU 3bet, SB call, UTG call","open, 3bet, call, call",3bet,postflop,3,1221,0.0134,1221,0,100.00,59.36
"HJ limp, BU iso","limp, iso",SRP,preflop only,2,1199,0.0132,0,1199,0.00,3.43
"UTG open, CO call, BB 3bet","open, call, 3bet",3bet,preflop only,3,1195,0.0131,2,1193,0.17,7.13
"HJ open, BB 3bet, HJ 4bet","open, 3bet, 4bet",4bet,preflop only,2,1184,0.0130,0,1184,0.00,18.03
"UTG open, HJ 3bet, CO 4bet","open, 3bet, 4bet",4bet,mixed,3,1170,0.0129,14,1156,1.20,19.01
"UTG limp, CO iso","limp, iso",SRP,preflop only,2,1166,0.0128,0,1166,0.00,3.44
"CO open, BU 3bet, CO 4bet, BU 5bet","open, 3bet, 4bet, 5bet",5bet+,preflop only,2,1154,0.0127,0,1154,0.00,42.48
"UTG open, CO 3bet, SB 4bet","open, 3bet, 4bet",4bet,preflop only,3,1142,0.0126,11,1131,0.96,17.89
"UTG open, HJ 3bet, BU 4bet","open, 3bet, 4bet",4bet,mixed,3,1126,0.0124,23,1103,2.04,20.05
"CO open, SB call, BB 3bet, SB call","open, call, 3bet, call",3bet,postflop,3,1101,0.0121,1098,3,99.73,58.79
"BU open, BB 3bet, BU 4bet, BB 5bet, BU call","open, 3bet, 4bet, 5bet, call",5bet+,mixed,2,1097,0.0121,788,309,71.83,190.84
"HJ open, CO 3bet, SB call","open, 3bet, call",3bet,postflop,3,1086,0.0119,1081,5,99.54,47.11
"BU open, SB 3bet, BU 4bet, SB 5bet","open, 3bet, 4bet, 5bet",5bet+,preflop only,2,1083,0.0119,0,1083,0.00,46.88
"SB open, BB 3bet, SB 4bet, BB 5bet","open, 3bet, 4bet, 5bet",5bet+,preflop only,2,1082,0.0119,0,1082,0.00,44.57
"CO open, SB 3bet, CO 4bet, SB 5bet, CO call","open, 3bet, 4bet, 5bet, call",5bet+,mixed,2,1080,0.0119,781,299,72.31,196.42
"UTG open, CO 3bet, BB call","open, 3bet, call",3bet,mixed,3,1065,0.0117,1054,11,98.97,45.08
"UTG open, HJ 3bet, BB call","open, 3bet, call",3bet,postflop,3,1061,0.0117,1054,7,99.34,46.31
"UTG limp, BU iso","limp, iso",SRP,preflop only,2,1045,0.0115,0,1045,0.00,3.43
"HJ open, BU call, BB 3bet, BU call","open, call, 3bet, call",3bet,postflop,3,1044,0.0115,1038,6,99.43,65.15
"HJ open, CO call, SB 3bet, CO call","open, call, 3bet, call",3bet,postflop,3,1039,0.0114,1036,3,99.71,62.22
"HJ open, CO 3bet, HJ 4bet, CO 5bet, HJ call","open, 3bet, 4bet, 5bet, call",5bet+,mixed,2,1037,0.0114,792,245,76.37,185.01
"HJ open, SB 3bet, BB call, HJ call","open, 3bet, call, call",3bet,postflop,3,1035,0.0114,1035,0,100.00,69.91
"UTG limp, CO limp, BB check","limp, limp, check",limped,postflop,3,1034,0.0114,1034,0,100.00,12.31
"CO open, SB call, BB 3bet, CO call","open, call, 3bet, call",3bet,postflop,3,1032,0.0113,1023,9,99.13,64.06
"HJ limp, CO limp, BB check","limp, limp, check",limped,postflop,3,1027,0.0113,1027,0,100.00,13.57
"UTG open, BU 3bet, SB 4bet","open, 3bet, 4bet",4bet,preflop only,3,1025,0.0113,10,1015,0.98,18.75
"UTG open, HJ 3bet, UTG 4bet, HJ 5bet, UTG call","open, 3bet, 4bet, 5bet, call",5bet+,mixed,2,1008,0.0111,777,231,77.08,180.37
"UTG open, HJ 3bet, BB 4bet","open, 3bet, 4bet",4bet,mixed,3,1004,0.0110,22,982,2.19,17.88
