section,stat,segment,pool_freq_pct,n_opportunities,k_actions,low_n_flag,note
C. Turn,Fold to turn c-bet,5bet_plus · HU · OOP,26.351,148,39,LOW-N — don't trust,
C. Turn,Fold to turn c-bet,5bet_plus · HU · IP,32.847,137,45,LOW-N — don't trust,
C. Turn,Fold to turn c-bet,5bet_plus · MW · OOP,44.444,9,4,LOW-N — don't trust,
C. Turn,Fold to turn c-bet,5bet_plus · MW · IP,80.0,5,4,LOW-N — don't trust,
C. Turn,Fold to turn c-bet — by size faced,small,42.945,404286,173622,,
C. Turn,Fold to turn c-bet — by size faced,mid,54.243,385146,208913,,
C. Turn,Fold to turn c-bet — by size faced,large,67.286,15822,10646,,
C. Turn,Fold to turn c-bet — by size faced,pot,68.542,871,597,,
C. Turn,Fold to turn c-bet — by size faced,overbet,0.0,8,0,LOW-N — don't trust,
C. Turn,Turn probe (non-PFR bets after flop checked through),srp · HU,36.381,700364,254798,,
C. Turn,Turn probe (non-PFR bets after flop checked through),srp · multiway,23.888,277192,66215,,
C. Turn,Turn probe (non-PFR bets after flop checked through),3bet · HU,34.363,128261,44074,,
C. Turn,Turn probe (non-PFR bets after flop checked through),limped · HU,26.659,120490,32121,,
C. Turn,Turn probe (non-PFR bets after flop checked through),limped · multiway,19.345,39820,7703,,
C. Turn,Turn probe (non-PFR bets after flop checked through),3bet · multiway,26.42,31541,8333,,
C. Turn,Turn probe (non-PFR bets after flop checked through),4bet · HU,14.169,27658,3919,,
C. Turn,Turn probe (non-PFR bets after flop checked through),5bet_plus · HU,0.4,19004,76,,
C. Turn,Turn probe (non-PFR bets after flop checked through),4bet · multiway,12.376,2214,274,,
C. Turn,Turn probe (non-PFR bets after flop checked through),5bet_plus · multiway,1.107,1897,21,,
C. Turn,Fold to turn probe (as PFR who checked),srp · HU,52.342,254798,133366,,
C. Turn,Fold to turn probe (as PFR who checked),srp · multiway,69.772,66210,46196,,
